Prof,2024-10-30T11:57:29,2024-10-29T08:17:17,2024-10-07T09:35:24,2024-09-09T09:37:59,2024-09-02T08:51:58,2024-08-19T09:29:59,2024-08-06T09:10:57,2024-08-06T08:58:36,2024-08-06T08:44:27
0.5,0.1800000000000006,0.17999999999999972,0.2599999999999998,0.33999999999999986,0.40999999999999925,0.3200000000000003,0.2599999999999998,0.5,0.33999999999999986
1.0,0.16000000000000014,0.16999999999999993,-0.019999999999999574,0.33999999999999986,0.39999999999999947,0.2999999999999998,0.25,0.5,0.2400000000000002
1.5,0.8399999999999999,0.9699999999999998,0.9100000000000001,0.8300000000000001,0.9199999999999999,0.8999999999999995,0.8799999999999999,0.8400000000000007,0.7699999999999996
2.0,0.47999999999999954,0.5900000000000007,0.5300000000000002,0.6399999999999997,0.79,0.7400000000000002,0.7200000000000006,0.6699999999999999,0.5899999999999999
2.5,0.5600000000000005,0.7800000000000002,0.5100000000000007,0.5900000000000007,0.6900000000000004,0.75,0.7400000000000002,0.71,0.6799999999999997
3.0,0.5900000000000007,0.7199999999999998,0.54,0.7200000000000006,0.6799999999999997,0.71,0.75,0.7400000000000002,0.6799999999999997
3.5,0.5700000000000003,0.6399999999999997,0.5499999999999998,0.7600000000000007,0.5800000000000001,0.7599999999999998,0.6500000000000004,0.79,0.7299999999999995
4.0,0.5699999999999994,0.5599999999999996,0.7000000000000002,0.71,0.6100000000000003,0.6799999999999997,0.6800000000000006,0.79,0.6900000000000004
4.5,0.8100000000000005,0.8399999999999999,0.7199999999999998,0.8399999999999999,0.9100000000000001,0.8099999999999996,0.8199999999999994,0.9400000000000004,0.8400000000000007
5.0,0.6200000000000001,0.6699999999999999,0.6200000000000001,0.6999999999999993,0.71,0.6400000000000006,0.7199999999999998,0.7199999999999998,0.7000000000000002
5.5,0.6300000000000008,0.6100000000000003,0.5999999999999996,0.6900000000000004,0.6900000000000004,0.6799999999999997,0.7700000000000005,0.6900000000000004,0.6899999999999995
6.0,0.5899999999999999,0.6400000000000006,0.6099999999999994,0.6900000000000004,0.6799999999999997,0.6699999999999999,0.7199999999999998,0.7000000000000002,0.6699999999999999
6.5,0.5200000000000005,0.5500000000000007,0.54,0.6900000000000004,0.6500000000000004,0.6899999999999995,0.6900000000000004,0.6600000000000001,0.6500000000000004
7.0,0.5599999999999996,0.6099999999999999,0.69,0.7499999999999996,0.7200000000000002,0.8200000000000003,0.7699999999999996,0.7299999999999995,0.7400000000000002
7.5,0.4099999999999999,0.43999999999999995,0.4899999999999999,0.6000000000000001,0.54,0.59,0.6600000000000001,0.5700000000000001,0.61
8.0,0.42000000000000004,0.57,0.56,0.64,0.6100000000000001,0.7100000000000001,0.74,0.65,0.7
8.5,0.44999999999999996,0.54,0.5800000000000001,0.7,0.62,0.6900000000000001,0.67,0.63,0.6900000000000001
9.0,0.41000000000000014,0.54,0.5899999999999999,0.7300000000000004,0.6100000000000003,0.6499999999999999,0.7000000000000002,0.6000000000000001,0.6800000000000002
9.5,0.49999999999999956,0.5500000000000003,0.56,0.6299999999999999,0.6199999999999997,0.6300000000000003,0.6499999999999995,0.6699999999999999,0.6499999999999999
10.0,0.4500000000000002,0.4400000000000004,0.54,0.6100000000000003,0.5699999999999994,0.5499999999999998,0.54,0.4299999999999997,0.5300000000000002
10.5,0.41000000000000014,0.34999999999999964,0.54,0.5699999999999994,0.5199999999999996,0.6699999999999999,0.5999999999999996,0.4800000000000004,0.4899999999999993
11.0,0.5200000000000005,0.5800000000000001,0.41000000000000014,0.6500000000000004,0.6299999999999999,0.5800000000000001,0.7000000000000002,0.7199999999999998,0.5700000000000003
11.5,0.54,0.6200000000000001,0.54,0.7399999999999993,0.6500000000000004,0.6799999999999997,0.7299999999999995,0.7800000000000002,0.7000000000000002
12.0,0.5899999999999999,0.5799999999999992,0.4900000000000002,0.6600000000000001,0.6800000000000006,0.6899999999999995,0.7199999999999998,0.75,0.7199999999999998
12.5,0.46999999999999975,0.6200000000000001,0.4500000000000002,0.6799999999999997,0.6299999999999999,0.6799999999999997,0.6599999999999993,0.79,0.6799999999999997
13.0,0.6399999999999997,0.5600000000000005,0.6999999999999993,0.7599999999999998,0.6900000000000004,0.7999999999999998,0.7300000000000004,0.7599999999999998,0.6099999999999994
13.5,0.6100000000000003,0.6299999999999999,0.7000000000000002,0.8200000000000003,0.8700000000000001,0.8300000000000001,0.7800000000000002,0.9100000000000001,0.7599999999999998
14.0,0.5099999999999998,0.5300000000000002,0.5800000000000001,0.6900000000000004,0.7000000000000002,0.71,0.6400000000000006,0.7299999999999995,0.6799999999999997
14.5,0.4899999999999993,0.54,0.5699999999999994,0.6500000000000004,0.7000000000000002,0.6899999999999995,0.6499999999999995,0.71,0.6400000000000006
15.0,0.48,0.56,0.5500000000000003,0.6500000000000004,0.6999999999999997,0.6600000000000001,0.6499999999999999,0.6799999999999997,0.6699999999999995
15.5,0.5,0.5899999999999999,0.6000000000000001,0.69,0.6500000000000004,0.6200000000000001,0.6800000000000002,0.6400000000000001,0.6800000000000002
16.0,0.5,0.5,0.19999999999999996,0.43999999999999995,0.4099999999999999,0.25,0.3999999999999999,0.31000000000000005,0.30000000000000004
16.5,0.6299999999999999,0.8199999999999994,0.8500000000000005,0.7299999999999995,0.6799999999999997,1.0200000000000005,1.1499999999999995,1.0899999999999999,1.1899999999999995
17.0,0.4900000000000002,0.6299999999999999,0.54,0.6799999999999997,0.6200000000000001,0.6200000000000001,0.7000000000000002,0.6600000000000001,0.7299999999999995
17.5,0.4299999999999997,0.5800000000000001,0.5300000000000002,0.6499999999999995,0.5800000000000001,0.6299999999999999,0.6900000000000004,0.6199999999999992,0.6800000000000006
18.0,0.47000000000000064,0.5800000000000001,0.5800000000000001,0.6799999999999997,0.6100000000000003,0.6699999999999999,0.71,0.6299999999999999,0.7000000000000002
18.5,0.4500000000000002,0.5199999999999996,0.5599999999999996,0.6600000000000001,0.5999999999999996,0.6900000000000004,0.6499999999999995,0.5999999999999996,0.6899999999999995
19.0,0.4900000000000002,0.5499999999999998,0.6299999999999999,0.71,0.6299999999999999,0.7699999999999996,0.6900000000000004,0.6900000000000004,0.7200000000000006
19.5,0.5400000000000009,0.46999999999999886,0.5600000000000005,0.5800000000000001,0.629999999999999,0.7499999999999991,0.75,0.7600000000000007,0.7399999999999993
20.0,0.5199999999999996,0.46000000000000085,0.5299999999999994,0.5899999999999999,0.6400000000000006,0.7200000000000006,0.6900000000000013,0.7599999999999998,0.6300000000000008
20.5,0.5300000000000002,0.4300000000000006,0.5099999999999998,0.5800000000000001,0.629999999999999,0.6900000000000004,0.6799999999999997,0.7599999999999998,0.7099999999999991
21.0,0.5,0.4399999999999995,0.5499999999999998,0.6000000000000005,0.7300000000000004,0.7000000000000002,0.6900000000000004,0.7800000000000002,0.6799999999999997
21.5,0.5200000000000005,0.39000000000000057,0.5300000000000002,0.6100000000000003,0.6699999999999999,0.6500000000000004,0.6500000000000004,0.8300000000000001,0.6499999999999995
22.0,0.5700000000000003,0.4900000000000002,0.6099999999999994,0.5699999999999994,0.7199999999999998,0.7199999999999998,0.7599999999999998,0.8300000000000001,0.7300000000000004
22.5,0.6500000000000004,0.5899999999999999,0.6399999999999997,0.6799999999999997,0.7899999999999991,0.6299999999999999,0.71,0.7700000000000005,0.6999999999999993
23.0,0.5999999999999999,0.53,0.56,0.6700000000000002,0.74,0.6199999999999999,0.6200000000000001,0.6500000000000001,0.6300000000000001
23.5,0.5299999999999998,0.5800000000000001,0.5100000000000002,0.73,0.6699999999999999,0.6699999999999999,0.6099999999999999,0.6299999999999999,0.6800000000000002
24.0,0.6000000000000001,0.6199999999999997,0.5699999999999998,0.7400000000000002,0.6599999999999997,0.6300000000000003,0.6499999999999999,0.6399999999999997,0.7200000000000002
24.5,0.6099999999999999,0.6200000000000001,0.6700000000000004,0.7299999999999995,0.6900000000000004,0.6400000000000006,0.7699999999999996,0.7200000000000002,0.75
25.0,0.56,0.6599999999999997,0.6900000000000004,0.6800000000000002,0.77,0.7199999999999998,0.7999999999999998,0.7199999999999998,0.7999999999999998
25.5,0.5899999999999999,0.6000000000000001,0.6100000000000001,0.64,0.6799999999999999,0.7600000000000001,0.7600000000000001,0.67,0.7000000000000001
26.0,0.48,0.47000000000000003,0.5700000000000001,0.54,0.64,0.71,0.71,0.62,0.6699999999999999
26.5,0.5499999999999999,0.59,0.6300000000000001,0.6400000000000001,0.7100000000000001,0.8099999999999998,0.77,0.7300000000000001,0.7399999999999999
27.0,0.54,0.5999999999999999,0.6299999999999999,0.6499999999999999,0.74,0.77,0.76,0.76,0.75
27.5,0.45000000000000007,0.53,0.5900000000000001,0.6100000000000001,0.6799999999999999,0.6699999999999999,0.7,0.76,0.69
28.0,0.5,0.54,0.5900000000000001,0.6400000000000001,0.7200000000000001,0.7,0.7200000000000001,0.7699999999999999,0.7299999999999999
28.5,0.3999999999999999,0.3699999999999999,0.3999999999999999,0.5,0.55,0.5,0.5699999999999998,0.6600000000000001,0.6000000000000001
29.0,0.52,0.4999999999999998,0.4999999999999998,0.6900000000000002,0.6499999999999999,0.6300000000000001,0.6699999999999999,0.81,0.6800000000000002
29.5,0.5100000000000002,0.54,0.5100000000000002,0.7000000000000002,0.6599999999999997,0.6200000000000001,0.6599999999999997,0.7399999999999998,0.6600000000000001
30.0,0.5,0.5099999999999998,0.5299999999999998,0.6600000000000001,0.69,0.6000000000000001,0.6699999999999999,0.7000000000000002,0.6799999999999997
30.5,0.5,0.52,0.6299999999999999,0.6700000000000004,0.6899999999999995,0.69,0.6499999999999999,0.6599999999999997,0.6999999999999997
31.0,0.4299999999999997,0.41999999999999993,0.6099999999999999,0.6099999999999999,0.6099999999999999,0.6299999999999999,0.5800000000000001,0.5699999999999998,0.6200000000000001
31.5,0.5700000000000003,0.6100000000000003,0.6900000000000004,0.7700000000000005,0.8600000000000003,0.7699999999999996,0.8099999999999996,0.7400000000000002,0.8500000000000005
32.0,0.4899999999999993,0.5900000000000007,0.6699999999999999,0.6999999999999993,0.7799999999999994,0.6699999999999999,0.75,0.7199999999999998,0.7600000000000007
32.5,0.4399999999999995,0.5299999999999994,0.6100000000000012,0.6700000000000017,0.75,0.6699999999999999,0.75,0.6600000000000001,0.7099999999999991
33.0,0.39000000000000057,0.5,0.5199999999999996,0.6199999999999992,0.6699999999999999,0.6799999999999997,0.7400000000000002,0.6399999999999988,0.7100000000000009
33.5,0.45000000000000107,0.5500000000000007,0.5600000000000005,0.6899999999999995,0.7400000000000002,0.7400000000000002,0.7699999999999996,0.7100000000000009,0.7899999999999991
34.0,0.39000000000000057,0.5399999999999991,0.4900000000000002,0.6799999999999997,0.6599999999999984,0.6799999999999997,0.7599999999999998,0.6500000000000004,0.7100000000000009
34.5,0.46000000000000085,0.5199999999999996,0.5100000000000016,0.6699999999999999,0.6499999999999986,0.6899999999999995,0.7199999999999989,0.6699999999999999,0.7099999999999991
35.0,0.4800000000000004,0.5,0.5099999999999998,0.6899999999999995,0.6399999999999988,0.6799999999999997,0.7100000000000009,0.7199999999999989,0.7000000000000011
35.5,0.45000000000000107,0.46000000000000085,0.5299999999999994,0.6799999999999997,0.6400000000000006,0.6699999999999999,0.6899999999999995,0.7099999999999991,0.6699999999999999
36.0,0.5099999999999998,0.4800000000000004,0.5600000000000005,0.6699999999999999,0.6399999999999997,0.6500000000000004,0.6900000000000004,0.7799999999999994,0.6600000000000001
36.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.0,0.5199999999999996,0.5499999999999998,0.5099999999999998,0.6600000000000001,0.6899999999999995,0.6399999999999997,0.6600000000000001,0.7799999999999998,0.6299999999999999
